ENSG_ID	A3862_142	A3862_153	A3862_155	A3862_140	A3862_143	A3862_147	A3862_148	A3862_150	A3862_152	A3862_156	A3862_158	A3862_159	A3862_141	A3862_144	A3862_145	A3862_146	A3862_149	A3862_151	A3862_154	A3862_157	A3862_160
AFFX-BioB-3_at	6.04920021330092	6.19139989231986	5.96561413825238	6.00506334532631	6.4025620407262	6.14872086029398	6.75230079029856	6.35695354258382	5.8162776726782	6.42975332929613	5.99006064996092	5.87555379673984	5.91528926822562	5.60346290185639	5.78553871001052	5.41705470072717	6.41505881475645	6.08559781346011	6.08123816151497	7.20481186382785	6.16249746731179
AFFX-BioB-5_at	6.99746540308418	7.15722397654436	6.91034046296396	6.82874028418055	7.25640597945809	7.12184239227372	7.50536321566413	7.2245053789995	6.9528289490714	7.56878776148169	6.95945956831684	6.95255558538961	7.00701525014869	6.83867044849417	6.84338335674674	6.83484832479373	7.64277365724831	7.18806050646634	7.13515403692465	7.89155437131724	7.09581400344129
AFFX-BioB-M_at	7.73152134615087	7.88900178474673	7.69653686202038	7.72176166343854	7.8362164129782	7.81737158837001	8.31287094222328	7.9860167059523	7.69592510508047	8.32785785617125	7.82454383978019	7.68234304879803	7.8043541770649	7.47490701762891	7.59174960014106	7.36599602746116	8.20005128398619	7.80158644763382	7.85975578054645	8.53534389894626	7.78081478964563
AFFX-BioC-3_at	9.47158332659778	9.70786027637803	9.46414498831077	9.45938317343806	9.6764573713188	9.47207434202117	9.97805940134906	9.76914050943138	9.43872606977381	9.94815874614154	9.357715090838	9.42927410963719	9.54145538840504	9.23749080343516	9.23111994332925	9.17350768944089	9.81990834153239	9.60143151933483	9.51096067976356	10.0733198924471	9.62719485663103
AFFX-BioC-5_at	8.58846376764003	8.76625874215142	8.66463163584881	8.63332232737944	8.82425117070981	8.69854659979273	9.20923889254205	8.9206643019572	8.51604374037141	9.04011867117199	8.56368109496408	8.59513833648433	8.67304175441184	8.09276861613086	8.37213189982851	8.29484793471469	9.04983982674717	8.67081684800523	8.66912164544259	9.33857278202063	8.72804802821328
AFFX-BioDn-3_at	10.9991699724063	11.1968680478676	10.9314957269133	11.0564210405372	11.2438766147033	11.0733639943855	11.4588947809055	11.137900797592	10.9613341348427	11.4269518744677	10.9886791637846	10.9518230379859	11.0590778028064	10.8706572505705	10.8578640125766	10.8428702772856	11.2423050621738	11.105353469215	11.0381904646054	11.5113854801403	11.1642809897696
AFFX-BioDn-5_at	10.9542648001641	11.0373511479922	10.7597322802823	10.7410697235864	11.016801178703	10.9338445524256	11.2044600642079	10.8615659020761	10.9452173160481	11.1666535418451	10.9177803938602	10.7242997994871	10.7098875658341	10.6952499829617	10.6506165559759	10.6739214178765	11.2708042446297	10.9696819109771	10.8134525120247	11.3075095266365	10.9323305064723
AFFX-CreX-3_at	13.4027780400085	13.3357965983924	13.2607293507231	13.2413656242598	13.3161795294994	13.3663496803611	13.3107263730053	13.2669053575585	13.3456620140672	13.354526283846	13.3853338493091	13.1975525328749	13.1987541573968	13.2877485939163	13.1559560128764	13.215830086874	13.3800624287332	13.3324134198402	13.2881186757727	13.3699277064986	13.4335542552664
AFFX-CreX-5_at	13.2433847490448	13.2264553024516	13.1655357983343	13.107257951738	13.1272537214168	13.2052941104237	13.2545028805274	13.1511208815771	13.2508496979499	13.1991895199533	13.2433543193616	13.0414488920015	13.047912864102	13.1459143547179	13.0665932384638	13.0979959817299	13.3037846883179	13.2124573556433	13.1457658751683	13.2668366206212	13.2548522807802
AFFX-DapX-3_at	10.5645913992832	11.0446256978759	10.4118743858162	10.5161854456613	10.5769019540566	10.7673438340262	11.4852489912302	10.7216105185618	10.5258698417326	11.3538965028077	10.3750057896321	10.3051507223339	10.7470387916962	10.5590970000518	10.2420867626872	10.46052593205	11.6195817245867	10.8075682042829	10.8548478687214	11.632815085161	10.6353717264375
